code,description_short,description_long,is_billable,status,valid_from
A0602,"Original description: Neurological with Motor >37.35 & Motor <47.75.,without com","Original description: Neurological with Motor >37.35 & Motor <47.75.,without comorbidities,10/2019 description: Neurological M >=52.50 and M <64.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0603,"Original description: Neurological with Motor >25.85 & Motor <37.35.,without com","Original description: Neurological with Motor >25.85 & Motor <37.35.,without comorbidities,10/2019 description: Neurological M >=43.50 and M <52.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0604,"Original description: Neurological with Motor <25.85.,without comorbidities,10/2","Original description: Neurological with Motor <25.85.,without comorbidities,10/2019 description: Neurological M <43.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0701,"Original description: Fracture of lower extremity with Motor >42.15.,without com","Original description: Fracture of lower extremity with Motor >42.15.,without comorbidities,10/2019 description: Fracture of lower extremity M >=61.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0702,Original description: Fracture of lower extremity with Motor >34.15 & Motor <42.,"Original description: Fracture of lower extremity with Motor >34.15 & Motor <42.15.,without comorbidities,10/2019 description: Fracture of lower extremity M >=52.50 and M <61.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0703,Original description: Fracture of lower extremity with Motor >28.15 & Motor <34.,"Original description: Fracture of lower extremity with Motor >28.15 & Motor <34.15.,without comorbidities,10/2019 description: Fracture of lower extremity M >=41.50 and M <52.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0704,"Original description: Fracture of lower extremity with Motor <28.15.,without com","Original description: Fracture of lower extremity with Motor <28.15.,without comorbidities,10/2019 description: Fracture of lower extremity M <41.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0801,"Original description: Replacement of lower extremity joint with Motor >49.55.,wi","Original description: Replacement of lower extremity joint with Motor >49.55.,without comorbidities,10/2019 description: Replacement of lower-extremity joint M >=63.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0802,Original description: Replacement of lower extremity joint with Motor >37.05 & M,"Original description: Replacement of lower extremity joint with Motor >37.05 & Motor <49.55.,without comorbidities,10/2019 description: Replacement of lower-extremity joint M >=57.50 and M <63.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0803,Original description: Replacement of lower extremity joint with Motor >28.65 & M,"Original description: Replacement of lower extremity joint with Motor >28.65 & Motor <37.05 & Age >83.5.,without comorbidities,10/2019 description: Replacement of lower-extremity joint M >=51.50 and M <57.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0804,Original description: Replacement of lower extremity joint with Motor >28.65 & M,"Original description: Replacement of lower extremity joint with Motor >28.65 & Motor <37.05 & Age <83.5.,without comorbidities,10/2019 description: Replacement of lower-extremity joint M >=42.50 and M <51.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0805,Original description: Replacement of lower extremity joint with Motor >22.05 & M,"Original description: Replacement of lower extremity joint with Motor >22.05 & Motor <28.65.,without comorbidities,10/2019 description: Replacement of lower-extremity joint M <42.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0806,"Replacement of lower extremity joint with Motor <22.05.,without comorbidities","Replacement of lower extremity joint with Motor <22.05.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0901,"Original description: Other orthopedic with Motor >44.75.,without comorbidities,","Original description: Other orthopedic with Motor >44.75.,without comorbidities,10/2019 description: Other orthopedic M >=63.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0902,"Original description: Other orthopedic with Motor >34.35 & Motor <44.75.,without","Original description: Other orthopedic with Motor >34.35 & Motor <44.75.,without comorbidities,10/2019 description: Other orthopedic M >=51.50 and M <63.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
