code,description_short,description_long,is_billable,status,valid_from
QE,Stationary o2 @ rest <1 lpm,Prescribed amount of stationary oxygen while at rest is less than 1 liter per,,active,1989-01-01T00:00:00Z
QF,Station o2 @ rest >4lpm/port,Prescribed amount of stationary oxygen while at rest exceeds 4 liters per,,active,1989-01-01T00:00:00Z
QG,Station o2 @ rest > 4 lpm,Prescribed amount of stationary oxygen while at rest is greater than 4 liters,,active,1989-01-01T00:00:00Z
QH,Oxygen cnsrvg dvc w del sys,Oxygen conserving device is being used with an oxygen delivery system,,active,1989-01-01T00:00:00Z
QJ,Patient in state/locl custod,"Services/items provided to a prisoner or patient in state or local custody,",,active,2003-01-01T00:00:00Z
QK,Med dir 2-4 cncrnt anes proc,"Medical direction of two, three, or four concurrent anesthesia procedures",,active,1995-01-01T00:00:00Z
QL,Patient died after amb call,Patient pronounced dead after ambulance called,,active,1999-01-01T00:00:00Z
QM,Ambulance arr by provider,Ambulance service provided under arrangement by a provider of services,,active,1996-01-01T00:00:00Z
QN,Ambulance furn by provider,Ambulance service furnished directly by a provider of services,,active,1996-01-01T00:00:00Z
QP,Individually ordered lab tst,Documentation is on file showing that the laboratory test(s) was ordered,,active,1996-01-01T00:00:00Z
QQ,Qualified cdsm consulted,Ordering professional consulted a qualified clinical decision support mechanism,,deprecated,2018-07-01T00:00:00Z
QR,Avg sta day/night o2 > 4 lpm,Prescribed amounts of stationary oxygen for daytime use while at rest and,,active,2018-04-01T00:00:00Z
QS,Monitored anesthesia care,Monitored anesthesia care service,,active,1990-01-01T00:00:00Z
QT,Rcrdg/strg tape analog recdr,Recording and storage on tape by an analog tape recorder,,active,1989-01-01T00:00:00Z
QW,Clia waived test,Clia waived test,,active,1996-01-01T00:00:00Z
QX,Crna svc w/ md med direction,Crna service: with medical direction by a physician,,active,1993-01-01T00:00:00Z
QY,Medically directed crna,Medical direction of one certified registered nurse anesthetist (crna) by an,,active,1998-01-01T00:00:00Z
QZ,Crna svc w/o med dir by md,Crna service: without medical direction by a physician,,active,1993-01-01T00:00:00Z
RA,Replacement of dme item,"Replacement of a dme, orthotic or prosthetic item",,active,2009-01-01T00:00:00Z
