code,description_short,description_long,is_billable,status,valid_from
J0223,Inj givosiran 0.5 mg,"Injection, givosiran, 0.5 mg",True,active,2020-07-01T00:00:00Z
J0224,"Inj. lumasiran, 0.5 mg","Injection, lumasiran, 0.5 mg",True,active,2021-07-01T00:00:00Z
J0225,"Inj, vutrisiran, 1 mg","Injection, vutrisiran, 1 mg",True,active,2023-01-01T00:00:00Z
J0248,"Inj, remdesivir, 1 mg","Injection, remdesivir, 1 mg",True,active,2021-12-23T00:00:00Z
J0256,Alpha 1 proteinase inhibitor,"Injection, alpha 1 proteinase inhibitor (human), not otherwise specified, 10 mg",True,active,1989-01-01T00:00:00Z
J0257,Glassia injection,"Injection, alpha 1 proteinase inhibitor (human), (glassia), 10 mg",True,active,2012-01-01T00:00:00Z
J0270,Alprostadil for injection,"Injection, alprostadil, 1.25 mcg (code may be used for medicare when drug",True,active,1997-01-01T00:00:00Z
J0275,Alprostadil urethral suppos,Alprostadil urethral suppository (code may be used for medicare when drug,True,active,1999-01-01T00:00:00Z
J0278,Amikacin sulfate injection,"Injection, amikacin sulfate, 100 mg",True,active,2006-01-01T00:00:00Z
J0280,Aminophyllin 250 mg inj,"Injection, aminophyllin, up to 250 mg",True,active,1984-01-01T00:00:00Z
J0281,Inj aminocaproic acid 1 gram,"Injection, aminocaproic acid, 1 gram",True,active,2025-04-01T00:00:00Z
J0282,Amiodarone hcl,"Injection, amiodarone hydrochloride, 30 mg",True,active,2001-01-01T00:00:00Z
J0283,"Inj, amiodarone (nexterone)","Injection, amiodarone hydrochloride (nexterone), 30 mg",True,active,2023-01-01T00:00:00Z
J0285,Amphotericin b,"Injection, amphotericin b, 50 mg",True,active,1999-01-01T00:00:00Z
J0287,Amphotericin b lipid complex,"Injection, amphotericin b lipid complex, 10 mg",True,active,2003-01-01T00:00:00Z
J0288,Ampho b cholesteryl sulfate,"Injection, amphotericin b cholesteryl sulfate complex, 10 mg",True,deprecated,2003-01-01T00:00:00Z
J0289,Amphotericin b liposome inj,"Injection, amphotericin b liposome, 10 mg",True,active,2003-01-01T00:00:00Z
J0290,Ampicillin 500 mg inj,"Injection, ampicillin sodium, 500 mg",True,active,1984-01-01T00:00:00Z
J0291,"Inj., plazomicin, 5 mg","Injection, plazomicin, 5 mg",True,active,2019-10-01T00:00:00Z
J0295,Ampicillin sulbactam 1.5 gm,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",True,active,1995-01-01T00:00:00Z
J0300,Amobarbital 125 mg inj,"Injection, amobarbital, up to 125 mg",True,active,1982-01-01T00:00:00Z
J0330,Succinycholine chloride inj,"Injection, succinylcholine chloride, up to 20 mg",True,active,1986-01-01T00:00:00Z
J0348,Anidulafungin injection,"Injection, anidulafungin, 1 mg",True,active,2007-01-01T00:00:00Z
J0349,"Inj, rezafungin, 1 mg","Injection, rezafungin, 1 mg",True,active,2023-10-01T00:00:00Z
J0350,Injection anistreplase 30 u,"Injection, anistreplase, per 30 units",True,deprecated,1986-01-01T00:00:00Z
J0360,Hydralazine hcl injection,"Injection, hydralazine hcl, up to 20 mg",True,active,1986-01-01T00:00:00Z
J0364,Apomorphine hydrochloride,"Injection, apomorphine hydrochloride, 1 mg",True,active,2007-01-01T00:00:00Z
J0365,"Aprotonin, 10,000 kiu","Injection, aprotonin, 10,000 kiu",True,deprecated,2006-01-01T00:00:00Z
J0380,Inj metaraminol bitartrate,"Injection, metaraminol bitartrate, per 10 mg",True,deprecated,1982-01-01T00:00:00Z
J0390,Chloroquine injection,"Injection, chloroquine hydrochloride, up to 250 mg",True,active,1986-01-01T00:00:00Z
J0391,"Inj, artesunate, 1mg","Injection, artesunate, 1 mg",True,active,2024-01-01T00:00:00Z
J0395,Arbutamine hcl injection,"Injection, arbutamine hcl, 1 mg",True,deprecated,1999-01-01T00:00:00Z
J0400,Aripiprazole injection,"Injection, aripiprazole, intramuscular, 0.25 mg",True,active,2008-01-01T00:00:00Z
J0401,"Inj, abilify maintena, 1 mg","Injection, aripiprazole (abilify maintena), 1 mg",True,active,2014-01-01T00:00:00Z
J0402,"Inj, abilify asimtufii, 1 mg","Injection, aripiprazole (abilify asimtufii), 1 mg",True,active,2024-01-01T00:00:00Z
J0456,Azithromycin,"Injection, azithromycin, 500 mg",True,active,2000-01-01T00:00:00Z
J0457,"Injection, aztreonam, 100 mg","Injection, aztreonam, 100 mg",True,active,2023-07-01T00:00:00Z
J0458,Aztreonam/avibactam 10 mg,"Injection, aztreonam/avibactam, 7.5 mg/2.5 mg (10 mg)",True,active,2025-10-01T00:00:00Z
J0461,Atropine sulfate injection,"Injection, atropine sulfate, 0.01 mg",True,active,2010-01-01T00:00:00Z
J0462,"Atropine sulf, nte, 0.01 mg","Injection, atropine sulfate, not therapeutically equivalent to j0461, 0.01 mg",True,active,2025-10-01T00:00:00Z
J0463,Inj atropine (fresenius te),"Injection, atropine sulfate (fresenius and therapeutically equivalent), 0.01 mg",True,active,2026-04-01T00:00:00Z
J0470,Dimecaprol injection,"Injection, dimercaprol, per 100 mg",True,active,1982-01-01T00:00:00Z
J0475,Baclofen 10 mg injection,"Injection, baclofen, 10 mg",True,active,1994-01-01T00:00:00Z
J0476,Baclofen intrathecal trial,"Injection, baclofen, 50 mcg for intrathecal trial",True,active,1999-01-01T00:00:00Z
