source_system,source_code,target_system,target_code,relationship,confidence,provenance
HCPCS,A9585,NDC,65219028730,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,65219028965,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,70436021254,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,70436021280,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,70436021382,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,70436021454,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,70436021480,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,70436021651,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9585,NDC,70436021750,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,A9589,NDC,10511300102,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0121,NDC,71715000102,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0122,NDC,71773005012,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0122,NDC,71773010012,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0129,NDC,00003218713,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0129,NDC,00003218811,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0129,NDC,00003218851,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0129,NDC,00003281411,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0129,NDC,00003281811,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0131,NDC,00781315695,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0131,NDC,00781927495,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0131,NDC,24201010024,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0131,NDC,24201011024,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0131,NDC,36000030660,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0131,NDC,36000037240,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0131,NDC,51662154001,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0131,NDC,51662154003,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0131,NDC,55150030724,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0131,NDC,67457094010,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0131,NDC,72572005010,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0132,NDC,00574080530,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0132,NDC,25021081230,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0132,NDC,25021081266,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0132,NDC,55150025930,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0132,NDC,63323096330,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0132,NDC,63323096344,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0132,NDC,66220020730,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0132,NDC,68462094612,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0132,NDC,70069078804,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0132,NDC,70594011102,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
HCPCS,J0133,NDC,55150015410,bills-for,exact,https://www.cms.gov/files/zip/april-2026-ndc-hcpcs-crosswalk-03-30-2026-final-file.zip
