parent_code,child_code,relationship
A54.4,A54.42,is-a
A54.4,A54.43,is-a
A54.4,A54.49,is-a
A54.8,A54.81,is-a
A54.8,A54.82,is-a
A54.8,A54.83,is-a
A54.8,A54.84,is-a
A54.8,A54.85,is-a
A54.8,A54.86,is-a
A54.8,A54.89,is-a
A56,A56.0,is-a
A56,A56.1,is-a
A56,A56.2,is-a
A56,A56.3,is-a
A56,A56.4,is-a
A56,A56.8,is-a
A56.0,A56.00,is-a
A56.0,A56.01,is-a
A56.0,A56.02,is-a
A56.0,A56.09,is-a
A56.1,A56.11,is-a
A56.1,A56.19,is-a
A59,A59.0,is-a
A59,A59.8,is-a
A59,A59.9,is-a
A59.0,A59.00,is-a
A59.0,A59.01,is-a
A59.0,A59.02,is-a
A59.0,A59.03,is-a
A59.0,A59.09,is-a
A60,A60.0,is-a
A60,A60.1,is-a
A60,A60.9,is-a
A60.0,A60.00,is-a
A60.0,A60.01,is-a
A60.0,A60.02,is-a
A60.0,A60.03,is-a
A60.0,A60.04,is-a
A60.0,A60.09,is-a
A63,A63.0,is-a
A63,A63.8,is-a
A66,A66.0,is-a
A66,A66.1,is-a
A66,A66.2,is-a
A66,A66.3,is-a
A66,A66.4,is-a
A66,A66.5,is-a
A66,A66.6,is-a
A66,A66.7,is-a
A66,A66.8,is-a
A66,A66.9,is-a
A67,A67.0,is-a
A67,A67.1,is-a
A67,A67.2,is-a
A67,A67.3,is-a
A67,A67.9,is-a
A68,A68.0,is-a
A68,A68.1,is-a
A68,A68.9,is-a
A69,A69.0,is-a
A69,A69.1,is-a
A69,A69.2,is-a
A69,A69.8,is-a
A69,A69.9,is-a
A69.2,A69.20,is-a
A69.2,A69.21,is-a
A69.2,A69.22,is-a
A69.2,A69.23,is-a
A69.2,A69.29,is-a
A71,A71.0,is-a
A71,A71.1,is-a
A71,A71.9,is-a
A74,A74.0,is-a
A74,A74.8,is-a
A74,A74.9,is-a
A74.8,A74.81,is-a
A74.8,A74.89,is-a
A75,A75.0,is-a
A75,A75.1,is-a
A75,A75.2,is-a
A75,A75.3,is-a
A75,A75.9,is-a
A77,A77.0,is-a
A77,A77.1,is-a
A77,A77.2,is-a
A77,A77.3,is-a
A77,A77.4,is-a
A77,A77.8,is-a
A77,A77.9,is-a
A77.4,A77.40,is-a
A77.4,A77.41,is-a
A77.4,A77.49,is-a
A79,A79.0,is-a
A79,A79.1,is-a
A79,A79.8,is-a
A79,A79.9,is-a
A79.8,A79.81,is-a
A79.8,A79.82,is-a
A79.8,A79.89,is-a
A80,A80.0,is-a
A80,A80.1,is-a
A80,A80.2,is-a
A80,A80.3,is-a
A80,A80.4,is-a
A80,A80.9,is-a
A80.3,A80.30,is-a
A80.3,A80.39,is-a
A81,A81.0,is-a
A81,A81.1,is-a
A81,A81.2,is-a
