code,description_short,description_long,is_billable,status,valid_from
185,The rendering provider is not eligible to perform the service billed,"The rendering provider is not eligible to perform the service billed. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2005-06-30T00:00:00Z
186,Level of care change adjustment,Level of care change adjustment.,,active,2005-06-30T00:00:00Z
187,Consumer Spending Account payments (includes but is not limited to Flexible Spen,"Consumer Spending Account payments (includes but is not limited to Flexible Spending Account, Health Savings Account, Health Reimbursement Account, etc.)",,active,2005-06-30T00:00:00Z
188,This product/procedure is only covered when used according to FDA recommendations,This product/procedure is only covered when used according to FDA recommendations.,,active,2005-06-30T00:00:00Z
189,'Not otherwise classified' or 'unlisted' procedure code (CPT/HCPCS) was billed w,'Not otherwise classified' or 'unlisted' procedure code (CPT/HCPCS) was billed when there is a specific procedure code for this procedure/service,,active,2005-06-30T00:00:00Z
19,This is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier,This is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier.,,active,1995-01-01T00:00:00Z
190,Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay,Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay.,,active,2005-10-31T00:00:00Z
191,Not a work related injury/illness and thus not the liability of the workers' com,"Not a work related injury/illness and thus not the liability of the workers' compensation carrier Note: If adjustment is at the Claim Level, the payer must send and the provider should refer to the 835 Insurance Policy Number Segment (Loop 2100 Other Claim Related Information REF qualifier 'IG') for the jurisdictional regulation. If adjustment is at the Line Level, the payer must send and the provider should refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment information REF)",,active,2005-10-31T00:00:00Z
192,Non standard adjustment code from paper remittance,"Non standard adjustment code from paper remittance. Usage: This code is to be used by providers/payers providing Coordination of Benefits information to another payer in the 837 transaction only. This code is only used when the non-standard code cannot be reasonably mapped to an existing Claims Adjustment Reason Code, specifically Deductible, Coinsurance and Co-payment.",,active,2005-10-31T00:00:00Z
193,Original payment decision is being maintained,"Original payment decision is being maintained. Upon review, it was determined that this claim was processed properly.",,active,2006-02-28T00:00:00Z
194,"Anesthesia performed by the operating physician, the assistant surgeon or the attending physician","Anesthesia performed by the operating physician, the assistant surgeon or the attending physician.",,active,2006-02-28T00:00:00Z
195,Refund issued to an erroneous priority payer for this claim/service,Refund issued to an erroneous priority payer for this claim/service.,,active,2006-02-28T00:00:00Z
196,Claim/service denied based on prior payer's coverage determination,Claim/service denied based on prior payer's coverage determination.,,active,2006-06-30T00:00:00Z
197,Precertification/authorization/notification/pre-treatment absent,Precertification/authorization/notification/pre-treatment absent.,,active,2006-10-31T00:00:00Z
198,Precertification/notification/authorization/pre-treatment exceeded,Precertification/notification/authorization/pre-treatment exceeded.,,active,2006-10-31T00:00:00Z
199,Revenue code and Procedure code do not match,Revenue code and Procedure code do not match.,,active,2006-10-31T00:00:00Z
2,Coinsurance Amount,Coinsurance Amount,,active,1995-01-01T00:00:00Z
20,This injury/illness is covered by the liability carrier,This injury/illness is covered by the liability carrier.,,active,1995-01-01T00:00:00Z
200,Expenses incurred during lapse in coverage,Expenses incurred during lapse in coverage,,active,2006-10-31T00:00:00Z
201,Patient is responsible for amount of this claim/service through 'set aside arrangement' or other agreement,"Patient is responsible for amount of this claim/service through 'set aside arrangement' or other agreement. (Use only with Group Code PR)  At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,active,2006-10-31T00:00:00Z
202,Non-covered personal comfort or convenience services,Non-covered personal comfort or convenience services.,,active,2007-02-28T00:00:00Z
203,Discontinued or reduced service,Discontinued or reduced service.,,active,2007-02-28T00:00:00Z
204,This service/equipment/drug is not covered under the patient's current benefit p,This service/equipment/drug is not covered under the patient's current benefit plan,,active,2007-02-28T00:00:00Z
205,Pharmacy discount card processing fee,Pharmacy discount card processing fee,,active,2007-07-09T00:00:00Z
206,National Provider Identifier - missing,National Provider Identifier - missing.,,active,2007-07-09T00:00:00Z
207,National Provider identifier - Invalid format,National Provider identifier - Invalid format,,active,2007-07-09T00:00:00Z
208,National Provider Identifier - Not matched,National Provider Identifier - Not matched.,,active,2007-07-09T00:00:00Z
209,Per regulatory or other agreement,"Per regulatory or other agreement. The provider cannot collect this amount from the patient. However, this amount may be billed to subsequent payer. Refund to patient if collected. (Use only with Group code OA)",,active,2007-07-09T00:00:00Z
21,This injury/illness is the liability of the no-fault carrier,This injury/illness is the liability of the no-fault carrier.,,active,1995-01-01T00:00:00Z
210,Payment adjusted because pre-certification/authorization not received in a timel,Payment adjusted because pre-certification/authorization not received in a timely fashion,,active,2007-07-09T00:00:00Z
